correo_electronico,telefono,contrasena,nombres,apellido_paterno,apellido_materno,fecha_nacimiento,curp,boleta,nss,tipo_sangre,grado,grupo
a01@escuela.mx,5500000001,,Alejandro,García,López,2008-01-01,GALA080101HDFRRN01,2025010001,10000000001,O+,1,1IM1
a02@escuela.mx,5500000002,,Beatriz,Martínez,Pérez,2008-02-02,MAPB080202MDFRRN02,2025010002,10000000002,A+,1,1IM1
a03@escuela.mx,5500000003,,Carlos,Hernández,Sánchez,2008-03-03,HESC080303HDFRRN03,2025010003,10000000003,B+,1,1IV1
a04@escuela.mx,5500000004,,Diana,Rodríguez,Díaz,2008-04-04,RODD080404MDFRRN04,2025010004,10000000004,AB+,1,1IV1
a05@escuela.mx,5500000005,,Eduardo,Pérez,Gómez,2007-05-05,PEGE070505HDFRRN05,2025010005,10000000005,O-,2,2IM1
a06@escuela.mx,5500000006,,Fernanda,López,Torres,2007-06-06,LOTF070606MDFRRN06,2025010006,10000000006,A-,2,2IM1
a07@escuela.mx,5500000007,,Gabriel,González,Ruiz,2007-07-07,GORG070707HDFRRN07,2025010007,10000000007,B-,2,2IV1
a08@escuela.mx,5500000008,,Hilda,Sánchez,Vargas,2007-08-08,SAVH070808MDFRRN08,2025010008,10000000008,O+,2,2IV1
a09@escuela.mx,5500000009,,Ignacio,Ramírez,Castro,2006-09-09,RACI060909HDFRRN09,2025010009,10000000009,A+,3,3IM1
a10@escuela.mx,5500000010,,Julia,Flores,Méndez,2006-10-10,FLMJ061010MDFRRN10,2025010010,10000000010,AB-,3,3IM1
a11@escuela.mx,5500000011,,Kevin,Cruz,Silva,2006-11-11,CRSK061111HDFRRN11,2025010011,10000000011,O+,3,3IV1
a12@escuela.mx,5500000012,,Laura,Gómez,Reyes,2006-12-12,GORL061212MDFRRN12,2025010012,10000000012,A+,3,3IV1
a13@escuela.mx,5500000013,,Manuel,Morales,Ortega,2005-01-13,MOOM050113HDFRRN13,2025010013,10000000013,B+,4,4IM1
a14@escuela.mx,5500000014,,Natalia,Vázquez,Delgado,2005-02-14,VADN050214MDFRRN14,2025010014,10000000014,O-,4,4IM1
a15@escuela.mx,5500000015,,Oscar,Jiménez,Romero,2005-03-15,JIRO050315HDFRRN15,2025010015,10000000015,A-,4,4IV1
a16@escuela.mx,5500000016,,Patricia,Reyes,Navarro,2005-04-16,RENP050416MDFRRN16,2025010016,10000000016,AB+,4,4IV1
a17@escuela.mx,5500000017,,Quique,Torres,Guerrero,2004-05-17,TOGQ040517HDFRRN17,2025010017,10000000017,O+,5,5IM1
a18@escuela.mx,5500000018,,Rosa,Díaz,Medina,2004-06-18,DIMR040618MDFRRN18,2025010018,10000000018,A+,5,5IM1
a19@escuela.mx,5500000019,,Sergio,Castillo,Vega,2004-07-19,CAVS040719HDFRRN19,2025010019,10000000019,B+,5,5IV1
a20@escuela.mx,5500000020,,Tania,Soto,Herrera,2004-08-20,SOHT040820MDFRRN20,2025010020,10000000020,O-,5,5IV1
a21@escuela.mx,5500000021,,Ulises,Mendoza,Aguilar,2003-09-21,MEAU030921HDFRRN21,2025010021,10000000021,A-,6,6IM1
a22@escuela.mx,5500000022,,Valeria,Silva,Rojas,2003-10-22,SIRV031022MDFRRN22,2025010022,10000000022,AB-,6,6IM1
a23@escuela.mx,5500000023,,Walter,Rojas,Pacheco,2003-11-23,ROPW031123HDFRRN23,2025010023,10000000023,O+,6,6IV1
a24@escuela.mx,5500000024,,Ximena,Vargas,Molina,2003-12-24,VAMX031224MDFRRN24,2025010024,10000000024,A+,6,6IV1
