correo_electronico,telefono,contrasena,nombres,apellido_paterno,apellido_materno,boleta_alumno
tutor1a@gmail.com,5599111111,tutorpass,Roberto,Pérez,Gómez,2025090001
tutor1b@gmail.com,5599111112,tutorpass,Ana María,López,Torres,2025090001
tutor2a@gmail.com,5599222221,tutorpass,Jorge Luis,González,Méndez,2025090002
tutor2b@gmail.com,5599222222,tutorpass,Patricia,Ruiz,Vargas,2025090002
tutor3a@gmail.com,5599333331,tutorpass,Fernando,Hernández,Silva,2025090003
tutor3b@gmail.com,5599333332,tutorpass,Claudia,Díaz,Romero,2025090003
tutor4a@gmail.com,5599444441,tutorpass,Ricardo,Martínez,Paz,2025090004
tutor4b@gmail.com,5599444442,tutorpass,Laura,Sánchez,Cruz,2025090004
tutor5a@gmail.com,5599555551,tutorpass,Eduardo,Ramírez,Vega,2025090005
tutor5b@gmail.com,5599555552,tutorpass,Mónica,Castro,Lara,2025090005
